date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:56	7064/7064	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202019%2008:57:56%20GMT	http://results.vtu.ac.in/resultsvitavicbcs_19/index.php	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/resultsvitavicbcs_19/index.html	(from )
14:27:57	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:57:57%20GMT	http://results.vtu.ac.in/robots.txt		(from )
14:27:57	56140/56140	---MCZ	200	added ('OK')	text/css	etag:W/%225a777d07-db4c%22	http://results.vtu.ac.in/css/style.css	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/css/style.css	(from http://results.vtu.ac.in/resultsvitavicbcs_19/index.php)
14:27:58	121207/121207	---MCZ	200	added ('OK')	text/css	etag:W/%225a777d07-1d977%22	http://results.vtu.ac.in/css/css/bootstrap.min.css	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/css/css/bootstrap.min.css	(from http://results.vtu.ac.in/resultsvitavicbcs_19/index.php)
14:27:59	4916/4916	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a777d08-1334%22	http://results.vtu.ac.in/resultsvitavicbcs_19/js/jquery.placeholder.label.js	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/resultsvitavicbcs_19/js/jquery.placeholder.label.js	(from http://results.vtu.ac.in/resultsvitavicbcs_19/index.php)
14:28:00	37053/37053	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a777d08-90bd%22	http://results.vtu.ac.in/js/js/bootstrap.min.js	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/js/js/bootstrap.min.js	(from http://results.vtu.ac.in/resultsvitavicbcs_19/index.php)
14:28:00	86663/86663	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a777d08-15287%22	http://results.vtu.ac.in/js/js/jquery.min.js	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/js/js/jquery.min.js	(from http://results.vtu.ac.in/resultsvitavicbcs_19/index.php)
14:28:00	3250/3250	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202019%2008:58:00%20GMT	http://results.vtu.ac.in/resultsvitavicbcs_19/captcha_new.php	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/resultsvitavicbcs_19/captcha_new.html	(from http://results.vtu.ac.in/resultsvitavicbcs_19/index.php)
14:28:01	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:00%20GMT	http://results.vtu.ac.in/images/log.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/log.png	(from http://results.vtu.ac.in/css/style.css)
14:28:01	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:01%20GMT	http://results.vtu.ac.in/images/icons.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/icons.png	(from http://results.vtu.ac.in/css/style.css)
14:28:01	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:01%20GMT	http://results.vtu.ac.in/images/blue-line.gif	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/blue-line.gif	(from http://results.vtu.ac.in/css/style.css)
14:28:02	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:01%20GMT	http://results.vtu.ac.in/images/close-button.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/close-button.png	(from http://results.vtu.ac.in/css/style.css)
14:28:02	41081/41081	---M--	200	added ('OK')	image/png	etag:%225a777d07-a079%22	http://results.vtu.ac.in/images/newL7.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/newL7.png	(from http://results.vtu.ac.in/resultsvitavicbcs_19/index.php)
14:28:02	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:02%20GMT	http://results.vtu.ac.in/images/blue-arrow.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/blue-arrow.png	(from http://results.vtu.ac.in/css/style.css)
14:28:02	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:02%20GMT	http://results.vtu.ac.in/images/ico-search.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/ico-search.png	(from http://results.vtu.ac.in/css/style.css)
14:28:02	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:02%20GMT	http://results.vtu.ac.in/images/down-arrow.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/down-arrow.png	(from http://results.vtu.ac.in/css/style.css)
14:28:03	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:02%20GMT	http://results.vtu.ac.in/images/black-arrow.gif	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/black-arrow.gif	(from http://results.vtu.ac.in/css/style.css)
14:28:03	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:03%20GMT	http://results.vtu.ac.in/images/arrow-2.png	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/arrow-2.png	(from http://results.vtu.ac.in/css/style.css)
14:28:03	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:03%20GMT	http://results.vtu.ac.in/images/green-arrow.gif	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/green-arrow.gif	(from http://results.vtu.ac.in/css/style.css)
14:28:03	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:03%20GMT	http://results.vtu.ac.in/images/blue-arrow.gif	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/blue-arrow.gif	(from http://results.vtu.ac.in/css/style.css)
14:28:04	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202019%2008:58:04%20GMT	http://results.vtu.ac.in/images/cyan-arrow.gif	C:/My%20Web%20Sites/clone1/results.vtu.ac.in/images/cyan-arrow.gif	(from http://results.vtu.ac.in/css/style.css)
